184,40,74,11,478
213,32,72,11,494
347,57,70,18,643
565,31,71,11,341
327,67,72,9,773
260,25,68,8,603
325,34,68,12,484
102,33,62,13,546
38,36,69,7,424
226,31,66,9,548
137,35,60,13,506
369,30,81,4,819
109,44,66,9,541
809,32,67,11,491
29,30,65,12,514
245,16,64,10,371
118,29,64,12,457
148,36,62,7,437
387,30,59,15,570
98,23,56,15,432
608,33,46,22,619
218,35,54,14,357
254,38,54,20,623
697,44,45,26,547
827,28,57,12,792
693,35,57,9,799
448,31,61,19,439
942,39,52,17,867
1017,27,44,21,912
216,36,43,18,462
673,38,48,19,859
989,46,57,14,805
630,29,47,19,652
404,32,50,19,776
692,39,48,16,919
1517,44,49,13,732
879,33,72,13,657
631,43,59,14,1419
1375,22,49,9,989
1139,30,54,13,821
3545,86,62,22,1740
706,30,47,17,815
451,32,45,34,760
433,43,48,26,936
601,20,69,23,863
1024,55,42,23,783
457,44,49,18,715
1441,37,57,15,1504
1022,82,72,22,1324
1244,66,67,26,940
